BL1S0200BM|200mm Black baton Light
RPM40WH|Metal Lamp Shade White Reducer Ring E27 to B22
RPR44WH|Universal Reducer Plate E27 to B22
RWWD|M4 x 12mm Pan Head Thread Screw
RWWP|Screw wall plug
SCRN70BM|Metal Lamp Shade Cap Black
SCRN70FG|Metal Lamp Shade Cap French Gold
SCRN70GB|Metal Lamp Shade Cap Green Brass
SPSDP2BM|Black Ceiling Cable Mount Hook
SPSPWH|White hook
SPUPBM|Retro Industrial Ceiling Hook
SWCRD16BM|16.5mm round on/off switch button
SWFF1GCH|Ceiling rose Front fitting Switch
SWPLGD|Pull chain cord switch Gold
TPHTTN2PBRBM|Wood base table lamp black half thin holder
TPOSULMC|Umbrella mosaic table lamp with switch
TPWXWO|Table lamp White Plugin Pendant switch
WCB1BC|Industrial Retro barrel lampshade
WCB1BS|Industrial Retro barrel lampshade
WCB1RR|Industrial Retro barrel lampshade
WCB2BM|Industrial Retro barrel lampshade
WCB3BM|Industrial Retro barrel lampshade
WCB5BC|Easy Fit Drum Lampshade Brushed Copper
WCB6BB|Industrial Retro barrel lampshade
WCBCBM|Bird Cage Black Easy Fit Shade
WCBNBC|Brushed Copper Industrial Metal Lampshade
WCBNBM|Black Industrial Metal Lampshade
WCBNBS|Brushed Silver Industrial Metal Lampshade
WCBNCH|Chrome Industrial Metal Lampshade
WCBNRR|Rustic Red Industrial Metal Lampshade
WCCYSP160GD|Gold Glass Lamp Cage
WCDC10BM|Black 10mm Easy Fit Metal Wire Cage
WCDCRO|Easy Fit Metal Light Shade Cage
WCDRBM|Ceiling Rose E27 Hemp metal Wire cage
WCGSBL|Retro Blue Geometric Wire Cage
WCGSBM|Retro Black Geometric Wire Cage
WCGSGD|Retro Gold Geometric Wire Cage
WCGSGR|Retro Green Geometric Wire Cage
WCGSRE|Retro Red Geometric Wire Cage
WCLBHE|1cm Long basket cage
WCLCCH|Long Shape Chrome Easy Fit Shade
WCLCFG|Metal Long Wire Cage Shade
WCLDBB|30cm Long Wire Bulb Cage
WCMVBM|1cm Hole Black Metal Lampshade
WCRWBL|Blue Round Woven Rattan Ball Cage
WCSLBM|Small Black 40mm Hole Diamond cage
WCVCRR|Rustic Red Balloon Lampshade
WCWDRO|Rose Gold Diamond Wire cage
WCWODSBM|Woven black diamond wire cage
WCWYBB|Bulb Safety Lighting Cage
WLCASN4PB|Swan Neck Pearl Black 4 Chandelier
WLWOFTBM|Wood iron black full thin E27 wall sconce
WR|10mm Fine pitch nuts retaining washers
WSBWBS|Industrial Wall Light Adjustable Joint
WSHFBC|Wall sconce Brushed Copper
WSHFBS|Wall sconce Brushed Silver
WSLS155BM|E27 Wall Light Sconce Black Adjustable
WSLS155GB|E27 Wall Light Sconce Green Brass Adjustable
WSNW170RO|Swan Neck Wall Light Rose Gold
WSNWBC|Wall sconce Brushed Copper
WSNWBM|Wall sconce Black
WSNWBS|Wall sconce Brushed Silver
WSST70BM|E27 Wall Sconce Black Bulb Holder
WSUSHE27YB|U shape wall sconce
WSWR2HTBLBM|2m twisted hemp black bakelite holder rotary switch
WSWS1PFTBM|1m PVC black full thin holder pendant set
CRFF100CO|Copper Front fitting Ceiling Rose
CRFF115CO|Vintage Plain industrial Ceiling Rose
CRSF108BM|Black Single Point Easy Fit Ceiling Rose
CRSF108CH|Chrome Single Point Easy Fit Ceiling Rose
LDCRE144|LED crystal E14 4W bulb
LDDCFLE145|Tri colour LED E14 5W filament bulb
LDGU10CD5|GU10 Cool white Dimming 5W
LDGU10CW5|GU10 Cool white 5W
LHTKE27YB|Metal Bulb Socket Lamp Holder
LSDO210BC|Dome Brushed Copper 21cm Lampshade
LSDO210BG|Dome Black Gold Inner 21cm Lampshade
LSDO210BS|Dome Brushed Silver 21cm Lampshade
LSDO300CO|Easy Fit Dome Lampshade Copper
LSDT130BM|Dot Pattern Lampshade
LSFT220BB|Brushed Brass Corn Lampshade
LSFT220FG|French Gold Easy Fit Cone Lampshade
LSHQ150BM|Easy Fit E27 15cm Light Shade Black
LSLT360BM|Big Top Shade Lampshade
LSMS320BT|Light Blue Gloss Metal Lampshade
LSMS320YE|Yellow Gloss Metal Lampshade
LSSS300YB|Barn Slotted Yellow Brass lampshade
LSTL260BS|Small Top Brushed Silver Lampshade
LSWT300BM|3 Wheel Black Pendant Lamp
PCGZ105TP|3/4 Fitting Nipple Threaded Galvanized
PCGZ90EL|Galvanized 90 elbow
PCGZFF|Galvanized flange
PHHT1PBRBM|E27 Black Half Threaded Holder PVC 2 Core
PHTT1PWRBL|E27 Blue Tin Holder PVC 2 Core
TPWDWO|Table lamp White wood
WCCLWH|Long White cage
WCFL180RO|180mm flat lantern rose gold cage
WCFWROCO|Copper flower shape wire cage
WCNCWH|Nest Shape White Easy Fit Shade
WCPC170GR|170mm Green conduit pipe cage Lantern
WCRTBR|1cm rattan barrel Cage
WCWDCH|Diamond Chrome Wire cage
WSTR135BM|E27 Wall Sconce Black Swan Neck Switch
CRSF100GG|Glitter Gold Ceiling Rose
LSCY290BI|Easy Fit Curvy Metal Lampshade Black Inner
LSWE315YE|Beat style Yellow Lampshade
PHHR1BMTBM|1m Black Ceiling Pendant Light
PLWP120BM|Black Industrial Long arm Water Pipe
LSGD280AR|Glass Bowl Lampshade
