IDENTITY,,,,,,,FUNCTION,,,,,STRUCTURE / DESIGN,,,,,MATERIAL,,,ELECTRICAL,,,,,,,,INTALLATION,,,,,,,,COMPATIBILITY,,,,MESUREMENTS,,,,,,,,,,,,,,PPC_Term			,,,,,,
SKU_ID,IMG_LINK,IMG,Stock,"Product
Name","Finish
Name","Colour
Family","Socket
Type","Switch
Included","Switch
Type","Mount
Type","Shade
Support","Body
Pattern","Ring
Count","Shade
Rings Qty","Lock
Nut Qty","Cable
Grip
Included","Body
Material
(Primary)","Ring
Material","Insert
Material
(Secondary)","Voltage
Range","Max
Wattage","Terminal
Type",Dimmable,"IP
Rating",Frequency,Class,"Earth
Terminal","Parts
List","Wiring
Type","Install
Type","Req
Electrician","Tools
Required","Assembly
Req","Cap
Easy
DIY","Assembly
Complex","Shade
Hole
Size","Compatible
Shade
Type","Compatible
Shade
Size ","Indoor/
Outdoor","Height
mm","Width
mm","Depth
mm","Diameter
mm","Shade
Diameter
mm","Cable
Length
mm","Adjust
Arm","Weight
g","CE
Cert
ID","UKCA
Cert
ID","RoHS
Cert
ID","WEEE
Reg","Safety
Warnings",Postage Cost,Exact Match Keyword,Phrase Match Keyword,Broad Match Keyword,Negative Keywords,Max Bid,Min Bid,Suggested Search Terms
LHBBE27CH,http://dashboard.digitweblk.com/Productimages/LHBBE27CH.jpg,,245,,Polished Chrome,Silver,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Polished Chrome Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | polished chrome lamp holder | E27 polished chrome pendant lamp holder
LHBBE27CO,http://dashboard.digitweblk.com/Productimages/CPHRE27CR.jpg,,204,,Brass / Gold,Copper,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Brass / Copper Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder
LHBBE27FG,http://dashboard.digitweblk.com/Productimages/LHBBE27FG.jpg,,73,,French Gold ,Silver,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 French Gold Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | french gold lamp holder | E27 french gold pendant lamp holder
LHBBE27GB,https://dashboard.digitweblk.com/Productimages/5140.jpg,,195,,Brass ,Green Brass,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Brass Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder
LHBBE27RO,http://dashboard.digitweblk.com/Productimages/CPHRE27RGD.jpg,,321,,Rose gold,Rose gold,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Rose Gold Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | rose gold lamp holder | E27 rose gold pendant lamp holder
LHBBE27SN,http://dashboard.digitweblk.com/Productimages/CPHRE27SNL.jpg,,205,,Brass ,Satin Nickel,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Brass Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder
LHBBE27YB,https://dashboard.digitweblk.com/Productimages/520.jpg,,192,,Brass / Gold,Yellow Brass,E27,NO,NO,Pendant,FALSE,Smooth with horizontal,0,0,1,Yes,Metal,Metal,Ceramic,110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Sleeve
M10 Hollow Threaded Nipple
Cord Grip / Cable Strain Relief
Socket Mount Bracket
E27 Socket Body",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,Metal / Glass,-,Indoor,90,42,42,40,,,,,,,,,,2.7,E27 Brass / Copper Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder
LHBGE27BM,https://dashboard.digitweblk.com/Productimages/2235.jpg,,747,,Matte Black,Black,E27,NO,NO,"Pendant / 
Shade Mount",TRUE,Dome top,2,1,0,No,Plastic,Plastic,"Plastic +
 Aluminum",110-240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,1,No,"Top cap,
Shade ring,
Shade ring,
Electrical insert",Hardwired,Fixture Wiring,,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,"Fabric / glass / 
metal shades/Hemp shade 
Cages","Any lamp shade with
40mmm top opening
can be fited",Indoor ,60,55,55,55,,,,,,,,,,2.7,E27 Matte Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
LHBHE27BA,http://dashboard.digitweblk.com/Productimages/BTEHRBK.jpg,,121,,Mate Balack,Black,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Matte Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
LHBHE27BY,http://dashboard.digitweblk.com/Productimages/LHBHE27BY.jpg,,103,,Shany Black,Black,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Shiny Black Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder
LHBHE27CH,http://dashboard.digitweblk.com/Productimages/BTEHRCE.jpg,,89,,Polished Chrome,Silver,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Polished Chrome Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | polished chrome lamp holder | E27 polished chrome pendant lamp holder
LHBHE27CO,http://dashboard.digitweblk.com/Productimages/BTEHRCR.jpg,,139,,Brass / Gold,Copper,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Brass / Copper Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder
LHBHE27GB,http://dashboard.digitweblk.com/Productimages/BTEHRBS.jpg,,231,,Brass ,Green Brass,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Brass Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder
LHBHE27RO,http://dashboard.digitweblk.com/Productimages/LHBHE27RO.jpg,,224,,Rose gold,Rose gold,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Rose Gold Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | rose gold lamp holder | E27 rose gold pendant lamp holder
LHBHE27SN,https://dashboard.digitweblk.com/Productimages/5483.jpg,,53,,Brass ,Satin Nickel,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Brass Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass lamp holder | E27 brass pendant lamp holder
LHBHE27YB,http://dashboard.digitweblk.com/Productimages/LHBHE27YB.jpg,,138,,Brass / Gold,Yellow Brass,E27,NO,NO,Pendant ,FALSE,Tapered cylinder,0,0,1,Yes,Metal,-,Plastic,110–240 V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Holder Shell
Lamp Socket Body
Cord Grip
Threaded Nipple
Decorative Sleeve",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,-,-,Indoor,95,45,45,45,,,,,,,,,,2.7,E27 Brass / Copper Pendant Lamp Holder,E27 pendant lamp holder,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder
LHBLE27BN,http://dashboard.digitweblk.com/Productimages/BLHRE27BK.jpg,,11,,Black,Black,E27,NO,NO,Flange Mount,TRUE,Smooth with decorative grooves,0,0,1,Yes,Metal,-,Ceramic,110–240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Cover
Cord Grip / Cable Strain Relief
M10 Hollow Threaded Nipple
Fixing Lock Nut
Socket Mount Bracket
E27 Ceramic Lamp Holder",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,"Fabric / glass / 
metal shades/Hemp shade 
Cages",-,Indoor,84,40,40,40,,,,,,,,,,2.7,E27 Black Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | E27 flange lamp holder | flange mount lamp holder
LHBLE27CH,https://dashboard.digitweblk.com/Productimages/2246.jpg,,192,,Polished Chrome,Silver,E27,NO,NO,Flange Mount,TRUE,Smooth with decorative grooves,0,0,1,Yes,Metal,-,Ceramic,110–240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Cover
Cord Grip / Cable Strain Relief
M10 Hollow Threaded Nipple
Fixing Lock Nut
Socket Mount Bracket
E27 Ceramic Lamp Holder",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,"Fabric / glass / 
metal shades/Hemp shade 
Cages",-,Indoor,84,40,40,40,,,,,,,,,,2.7,E27 Polished Chrome Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | polished chrome lamp holder | E27 polished chrome pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
LHBLE27CO,http://dashboard.digitweblk.com/Productimages/BLHRE27CR.jpg,,28,,Brass / Gold,Copper,E27,NO,NO,Flange Mount,TRUE,Smooth with decorative grooves,0,0,1,Yes,Metal,-,Ceramic,110–240V,60W,Screw terminal,"Depends on 
bulb & Switch ",IP20,50Hz,2,No,"Decorative Holder Cover
Cord Grip / Cable Strain Relief
M10 Hollow Threaded Nipple
Fixing Lock Nut
Socket Mount Bracket
E27 Ceramic Lamp Holder",Hardwired,Fixture Wiring,No,"Screwdriver, 
Wire Stripper",Low,Yes,No,40mm,"Fabric / glass / 
metal shades/Hemp shade 
Cages",--,Indoor,84,40,40,40,,,,,,,,,,2.7,E27 Brass / Copper Flange Mount Lamp Holder,E27 lamp holder flange,lamp holder,"ceiling rose, lampshade, light shade, bulb, led strip, downlight, spotlight, pendant cable, flex cable, lamp shade ring",£0.21,£0.12,E27 lamp holder | brass / copper lamp holder | E27 brass / copper pendant lamp holder | E27 flange lamp holder | flange mount lamp holder
