sku,classification,evidence_from_database,description,shopify_product_type_values,has_image,stock_rows,unit3_qty
LHNDE27BY,genuine,description names a holder/socket,Shinny black short holder with 30cm cable length,(none),True,10,-8
LHNDE27CO,genuine,description names a holder/socket,Copper short holder with 30cm cable length,(none),True,11,18
LHNDE27SN,genuine,description names a holder/socket,Satin nickel short holder with 30cm cable length,(none),True,10,161
LHNDE27YB,genuine,description names a holder/socket,Yellow brass short holder with 30cm cable length,(none),True,11,181
LHNS75E27BM,genuine,description names a holder/socket,Black short holder with pole with 75mm extension cable,(none),True,10,0
LHNS75E27YB,genuine,description names a holder/socket,Yellow brass short holder with pole with 75mm extension cable,(none),True,10,0
LHPHE27CO,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,11,83
LHPHE27SN,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,10,0
LHPLBM,unresolved,"description names a ""lamp head"" — not determinable",Plain aluminum lamp head,(none),True,11,0
LHPLCH,unresolved,"description names a ""lamp head"" — not determinable",Plain aluminum lamp head,(none),True,11,0
LHPLFTE14BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 Full teeth black Lid,Lighting Accessories,True,10,0
LHPLFTE14WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 Full teeth White Lid,Lighting Accessories,True,10,0
LHPLFTE27BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 Lamp holder black Lid,Lampshade,True,10,0
LHPLFTE27WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 Lamp holder White Lid,(none),True,10,0
LHPLHTE14BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 half teeth black Lid,Lighting Accessories,True,10,0
LHPLHTE14WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 half teeth White Lid,Lighting Accessories,True,10,0
LHPLHTE27BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 half teeth Black Lid,Lampshade,True,10,0
LHPLHTE27WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 half teeth White Lid,Lampshade,True,10,0
LHPLPLE14BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 Plane Black Lid,(none),True,10,0
LHPLPLE14WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E14 Plane White Lid,(none),True,10,0
LHPLPLE27BM,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 Lamp holder Black Lid,(none),True,10,0
LHPLPLE27WH,unresolved,"description names a ""Lid"" — holder cap or shade part, not determinable",E27 Lamp holder White Lid,(none),True,10,0
LHPLSN,unresolved,"description names a ""lamp head"" — not determinable",Plain aluminum lamp head,(none),True,11,0
LHPVC1E27WH,genuine,description names a holder/socket,E27 Screw Lamp Holder White,Lighting Accessories,True,10,10
LHPVC2E27WH,genuine,description names a holder/socket,E27 Screw Lamp Holder White,Lighting Accessories,True,10,10
LHPVCEE27WH,genuine,description names a holder/socket,E27 Screw Lamp Holder White,(none),False,10,0
LHPVGBWH,unrelated,description names a junction box,GH-T06 Junction Box,Lighting Accessories,True,10,10
LHPVHRE27WH,genuine,description names a holder/socket,GH-T26 Copper heat-resistant E27 white lamp holder,Lamp Holder,True,11,180
LHPVSCE27WH,genuine,description names a holder/socket,GH-P06 E27 screw lamp holder,LAMPSHADE,True,10,10
LHPVWBE27WB,genuine,description names a holder/socket,E27 Plastic Light Socket Lamp Holder Bulb Adapter Base,(none),True,10,20
LHRFE27BM,genuine,description names a holder/socket,Full threaded E27 Black lamp holder,Lamp Holder | Lamp Holders | Lamp_Holder,True,11,47
LHRFE27WH,genuine,description names a holder/socket,Full threaded E27 white lamp holder,Lamp Holder | Lamp Holders | Lamp_Holder,True,11,151
LHRIE14BM,genuine,description names a holder/socket,E14 Bulb Holder Edison Small Screw SES Black Plastic Lamp holder For Table Lamp E14 Socket UK.,Lamp_Holder,True,11,1243
LHRIVE14BM,genuine,description names a holder/socket,E14 Black  lamp holder,(none),True,10,23
LHSSB22GD,genuine,description names a holder/socket,B22 Gold Side slot Lamp holder,(none),True,10,0
LHSWPBB22CH,genuine,description names a holder/socket,B22 Push bar switch chrome Holder,Lighting Accessories,True,11,17
LHSWPBB22GD,genuine,description names a holder/socket,B22 Push bar switch gold Holder,Lighting Accessories,True,11,162
LHSWPBB22SN,genuine,description names a holder/socket,B22 Push bar switch Satin nickel Holder,Lighting Accessories,True,11,23
LHTHT15CF,unrelated,"description names a rod/stem, not a holder",16*150mm halt thin rod-,(none),True,10,0
LHTHT15GD,unrelated,"description names a rod/stem, not a holder",16*150mm halt thin rod-,(none),True,10,0
LHTHT30CF,unrelated,"description names a rod/stem, not a holder",16*300mm halt thin rod-,(none),True,10,0
LHTHT30GD,unrelated,"description names a rod/stem, not a holder",16*300mm halt thin rod-gold,(none),True,10,0
LHTHT50CF,unrelated,"description names a rod/stem, not a holder",16*500mm halt thin rod-coffee,(none),True,10,0
LHTHT50GD,unrelated,"description names a rod/stem, not a holder",16*500mm halt thin rod-Gold,(none),True,10,0
LHTKE27CO,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,11,68
LHTKE27GB,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,10,150
LHTKE27RO,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,11,96
LHTKE27SN,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,11,115
LHTKE27YB,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,Lamp Holders | Lamp_Holder,True,11,18
LHTMCE27BM,genuine,description names a holder/socket,05 Blue/Brown Cable 18cm + E27 Ceramic Body + Black   neck turnabe lamp holder,(none),True,10,500
LHTMGU10BM,genuine,description names a holder/socket,GU 10 Middle turnable Black Holder,(none),True,10,2
LHTMGU10CH,genuine,description names a holder/socket,GU 10 Middle turnable Chrome Holder,(none),True,10,27
LHTMGU10FG,genuine,description names a holder/socket,GU 10 Middle turnable French Gold holder,(none),True,10,0
LHTMGU10SN,genuine,description names a holder/socket,GU 10 Middle turnable Satin Nickel holder,(none),True,10,16
LHTMGU10YB,genuine,description names a holder/socket,GU 10 Middle turnable yellow brass holder,(none),True,10,-4
LHTMPSE27BM,genuine,description names a holder/socket,05 Blue/Brown Cable 18cm + E27 Plastic Head + Black neck turnable lamp holder,(none),True,10,500
LHTOE27CH,genuine,description names a holder/socket,E27 Threaded 20mm open holder chrome colour,Conduit Lighting | Lamp Holder,True,10,0
LHTPE27JCH,genuine,description names a holder/socket,75mm length black turning holder,Lamp_Holder,True,11,43
LHTPE27JFG,genuine,description names a holder/socket,75mm length french gold turning holder,Lamp_Holder,True,10,35
LHTPE27JGB,genuine,description names a holder/socket,75mm length green brass  turning holder,Lamp_Holder,True,10,37
LHTPE27JRO,genuine,description names a holder/socket,75mm length rose  gold turning holder,Lamp_Holder,True,11,38
LHTPE27JSN,genuine,description names a holder/socket,75mm length satin nickel turning holder,Lamp_Holder,True,10,7
LHTPE27JWH,genuine,description names a holder/socket,75mm length white  turning holder,Lamp_Holder,True,10,27
LHTPE27JYB,genuine,description names a holder/socket,75mm length yellow brass  turning holder,Lamp_Holder,True,10,29
LHTPE27KBM,genuine,description names a holder/socket,150mm length black turning holder,Lamp Holders | Lamp_Holder,True,10,0
LHTPE27KCH,genuine,description names a holder/socket,150mm length chrome turning holder,Lamp Holders | Lamp_Holder,True,10,41
LHTPE27KFG,genuine,description names a holder/socket,150mm length french gold turning holder,Lamp Holders | Lamp_Holder,True,10,37
LHTPE27KGB,genuine,description names a holder/socket,150mm length green brass turning holder,Lamp Holders | Lamp_Holder,True,10,48
LHTPE27KRO,genuine,description names a holder/socket,150mm length rose  gold turning holder,Lamp Holders | Lamp_Holder,True,10,37
LHTPE27KSN,genuine,description names a holder/socket,150mm length satin nickel  turning holder,Lamp Holders | Lamp_Holder,True,10,50
LHTPE27KWH,genuine,description names a holder/socket,150mm length white  turning holder,Lamp Holders | Lamp_Holder,True,10,49
LHTPE27KYB,genuine,description names a holder/socket,150mm length yellow brass turning holder,Lamp Holders | Lamp_Holder,True,10,0
LHTRE27BY,genuine,description names a holder/socket,Vintage Antique Retro Metal Bulb Socket Lamp Holder Lamp Shades Industrial Edison E27 Bulb Light Socket IP20 Hard wired Screw In for DIY Pendant Light Wall Light,(none),True,10,19
LHTT10150BG,unrelated,"description names a rod/stem, not a holder",Gold-plated 60mm high-reflective lamp cup + black 10*150mm rod,(none),True,10,0
LHTT10200BG,unrelated,"description names a rod/stem, not a holder",Gold-plated 60mm high-reflective lamp cup + black 10*200mm rod,(none),True,10,0
LHTT10250BG,unrelated,"description names a rod/stem, not a holder",Gold-plated 60mm high-reflective lamp cup + black 10*250mm rod,(none),True,10,0
LHTT15E27CF,unrelated,"description names a rod/stem, not a holder",16*150mm rod-Coffee,(none),True,10,0
LHTT15E27GD,unrelated,"description names a rod/stem, not a holder",16*150mm rod,(none),True,10,0
LHTT20E27YB,unrelated,"description names an arm, not a holder",Three-core black PVC bronze 20cm black arm yellow brass,(none),True,10,0
LHTT30E27CF,unrelated,"description names a rod/stem, not a holder",16*300mm rod-Coffee,(none),True,10,0
LHTT30E27GD,unrelated,"description names a rod/stem, not a holder",16*300mm rod,(none),True,10,0
LHTT50E27CF,unrelated,"description names a rod/stem, not a holder",16*500mm rod-Coffee,(none),True,10,0
LHTT50E27GD,unrelated,"description names a rod/stem, not a holder",16*500mm rod,(none),True,10,0
LHTTAGU10BM,genuine,description names a holder/socket,GU10 lamp holder - Black,LIGHT_BULB_SOCKET | Lamp Holder,True,11,105
LHTTAGU10CH,genuine,description names a holder/socket,GU10 lamp holder - Chrome,(none),True,9,110
LHTTAGU10CO,genuine,description names a holder/socket,GU10 lamp holder - Copper,(none),True,10,0
LHTTAGU10EBM,genuine,description names a holder/socket,Black GU10 lamp holder with 30cm extension cable,(none),True,10,0
LHTTAGU10EYB,genuine,description names a holder/socket,GU 10 holder with 30cm cable,(none),True,10,0
LHTTAGU10FG,genuine,description names a holder/socket,GU10 lamp holder - French Gold,(none),True,9,107
LHTTAGU10RO,genuine,description names a holder/socket,GU10 lamp holder - Rose Gold,(none),True,9,102
LHTTAGU10SN,genuine,description names a holder/socket,GU10 lamp holder - Satin Nickel,LIGHT_BULB_SOCKET | Lamp Holder,True,10,104
LHTTAGU10WH,genuine,description names a holder/socket,GU10 lamp holder - White,LIGHT_BULB_SOCKET | Lamp Holder,True,11,57
LHTTAGU10YB,genuine,description names a holder/socket,GU10 lamp holder - Yellow brass,Lamp Holder,True,10,0
LHTTE2730BM,genuine,description names a holder/socket,30mm holder without cable,Lamp Holder | Lamp Holders,True,10,60
LHTTE2740BM,genuine,description names a holder/socket,Holder 40mm without cable,Lamp Holder | Lamp Holders,True,11,152
LHTTGU10BM,genuine,description names a holder/socket,GU10 lamp holder - Black,Lamp Holder,True,10,57
LHTTGU10CO,genuine,description names a holder/socket,GU10 lamp holder - Copper,Lamp Holder,True,11,50
LHTTGU10SN,genuine,description names a holder/socket,GU10 lamp holder - Satin Nickel,Lamp Holder,True,10,65
LHTTGU10WH,genuine,description names a holder/socket,GU10 lamp holder - White,Lamp Holder,True,10,50
LHTTGU10YB,genuine,description names a holder/socket,GU10 lamp holder - Yellow brass,Lamp Holder,True,10,0
LHWHE27100WO,genuine,description names a holder/socket,100mm Wood Holder E27 Socket Vintage Industrial Lighting Lamp Bulb,Lamp_Holder,True,10,0
LHWHE2780WO,genuine,description names a holder/socket,80mm Wood Holder E27 Socket Vintage Industrial Lighting Lamp Bulb,Lamp_Holder,True,10,0
LHXBTF40E27BM,unrelated,description names a shade ring,"E27 heightened ring, full teeth, H40MM black",LAMPSHADE,True,11,974
LHXBTF40E27WH,unrelated,description names a shade ring,"E27 heightened ring, full teeth, H40MM - white",LAMPSHADE,True,11,964
LHXBTH50E27BM,unrelated,description names a shade ring,"E27 heightened ring, full teeth, H50MM black",LAMPSHADE,True,10,1200
LHXBTH50E27WH,unrelated,description names a shade ring,"E27 heightened ring, full teeth, H50MM white",LAMPSHADE,True,10,1200
LHXDE27BM,unrelated,"description names a bulb, not a holder","XD-3027 (E27) LED Bulb/Light with Copper Granules, AC 220–250V, 4A, 50/60Hz",(none),True,10,1200
LHXIM30B22WH,genuine,description names a holder/socket,408W-LB22 Bakelite Lamp Holder with Iron Mount and 0.25mm Two-Core Wire (30cm),Pendant Lighting,True,10,996
