sku,status,source,proposed_sot_status
LHSIE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSIE27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSQE27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSQE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSQE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSSE27BY,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSSE27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSSE27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27BA,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27CH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27FG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27SN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHSWE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTBE27BN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTBE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTBE27RO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTHE27CO,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTHE27YB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTKE27WH,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTRE27GB,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTRE27SN,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTTE27GG,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHTTE27GY,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
LHWME27BM,END OF LINE,inventory.end_of_line_products,"EOL — keep the row, set Status=EOL (owner decision: keep or remove)"
